amenity_name,amenity_type,lat,long,district_name
K0061,Carpark,1.318689374,103.8661038,KALLANG
K0064,Carpark,1.358949638,103.8818483,HOUGANG
K0065,Carpark,1.321610767,103.8764279,GEYLANG
K0069,Carpark,1.306399942,103.8566444,ROCHOR
K0078,Carpark,1.302975544,103.8768698,KALLANG
K0081,Carpark,1.340963412,103.8886332,HOUGANG
K0082,Carpark,1.306115887,103.8673693,KALLANG
K0087,Carpark,1.323677403,103.8532121,NOVENA
K0091,Carpark,1.337801847,103.8991488,BEDOK
K0093,Carpark,1.313264266,103.8419773,NOVENA
K0094,Carpark,1.294362398,103.8297465,TANGLIN
K0097,Carpark,1.334591562,103.8831302,TOA PAYOH
K0099,Carpark,1.31814672,103.9065906,BEDOK
K0108,Carpark,1.273081656,103.8395319,BUKIT MERAH
K0110,Carpark,1.323589096,103.8774483,GEYLANG
K0111,Carpark,1.309735729,103.8533519,ROCHOR
K0113,Carpark,1.292881185,103.8400564,RIVER VALLEY
K0114,Carpark,1.307880751,103.8659713,KALLANG
K0115,Carpark,1.33490003,103.9041206,BEDOK
K0118,Carpark,1.311285189,103.8450549,KALLANG
K0120,Carpark,1.315194497,103.859927,KALLANG
K0121,Carpark,1.306559132,103.8540507,ROCHOR
L0002,Carpark,1.309884138,103.8546444,ROCHOR
L0003,Carpark,1.298068056,103.8563637,DOWNTOWN CORE
L0004,Carpark,1.310404832,103.8760155,GEYLANG
L0005,Carpark,1.297084213,103.8399956,RIVER VALLEY
L0008,Carpark,1.341079977,103.7734948,BUKIT TIMAH
L0009,Carpark,1.286690858,103.8486279,SINGAPORE RIVER
L0011,Carpark,1.327897107,103.7119265,BOON LAY
L0013,Carpark,1.310162974,103.8766231,GEYLANG
L0014,Carpark,1.312386964,103.8758778,GEYLANG
L0015,Carpark,1.310750888,103.8771359,GEYLANG
L0016,Carpark,1.312860015,103.8764121,GEYLANG
L0018,Carpark,1.312994023,103.877007,GEYLANG
L0019,Carpark,1.310748018,103.8784155,GEYLANG
L0020,Carpark,1.313102308,103.8775299,GEYLANG
L0021,Carpark,1.311119429,103.8791831,GEYLANG
L0022,Carpark,1.313287762,103.8782541,GEYLANG
L0023,Carpark,1.311244936,103.8799407,GEYLANG
L0024,Carpark,1.313482685,103.8787072,GEYLANG
L0025,Carpark,1.311588383,103.8807154,GEYLANG
L0026,Carpark,1.313683889,103.8791737,GEYLANG
L0027,Carpark,1.31165433,103.8812966,GEYLANG
L0028,Carpark,1.314113902,103.8799817,GEYLANG
L0029,Carpark,1.324609992,103.6914327,PIONEER
L0030,Carpark,1.313956348,103.8795939,GEYLANG
